window,label,test_year,ablation,hit_rate,conf_pct,n_conf,hits,n_total
1,Post-GFC Recovery,2014,V2-Full,,,,,
1,Post-GFC Recovery,2014,V2-NoRegime,,,,,
1,Post-GFC Recovery,2014,V2-NoGAT,,,,,
1,Post-GFC Recovery,2014,V2-NoTDA,,,,,
1,Post-GFC Recovery,2014,V2-NoWalsh,,,,,
2,China Slowdown,2015,V2-Full,,,,,
2,China Slowdown,2015,V2-NoRegime,,,,,
2,China Slowdown,2015,V2-NoGAT,,,,,
2,China Slowdown,2015,V2-NoTDA,,,,,
2,China Slowdown,2015,V2-NoWalsh,,,,,
3,Demonetization,2016,V2-Full,0.4891,86.2,7690.0,3761.0,8918.0
3,Demonetization,2016,V2-NoRegime,0.4911,82.9,7391.0,3630.0,8918.0
3,Demonetization,2016,V2-NoGAT,0.4935,82.2,7329.0,3617.0,8918.0
3,Demonetization,2016,V2-NoTDA,0.4942,84.0,7495.0,3704.0,8918.0
3,Demonetization,2016,V2-NoWalsh,0.498,85.1,7590.0,3780.0,8918.0
4,GST Launch,2017,V2-Full,0.4988,69.6,6241.0,3113.0,8967.0
4,GST Launch,2017,V2-NoRegime,0.4916,69.3,6210.0,3053.0,8967.0
4,GST Launch,2017,V2-NoGAT,0.494,68.3,6122.0,3024.0,8967.0
4,GST Launch,2017,V2-NoTDA,0.4932,66.7,5977.0,2948.0,8967.0
4,GST Launch,2017,V2-NoWalsh,0.4996,68.8,6173.0,3084.0,8967.0
5,IL&FS Crisis,2018,V2-Full,0.5023,68.2,6048.0,3038.0,8869.0
5,IL&FS Crisis,2018,V2-NoRegime,0.4964,62.8,5570.0,2765.0,8869.0
5,IL&FS Crisis,2018,V2-NoGAT,0.4947,64.0,5676.0,2808.0,8869.0
5,IL&FS Crisis,2018,V2-NoTDA,0.4956,60.1,5331.0,2642.0,8869.0
5,IL&FS Crisis,2018,V2-NoWalsh,0.5059,67.3,5971.0,3021.0,8869.0
6,Elections/Slowdown,2019,V2-Full,0.4888,66.6,5873.0,2871.0,8820.0
6,Elections/Slowdown,2019,V2-NoRegime,0.4955,60.0,5290.0,2621.0,8820.0
6,Elections/Slowdown,2019,V2-NoGAT,0.4885,58.7,5175.0,2528.0,8820.0
6,Elections/Slowdown,2019,V2-NoTDA,0.5229,55.9,4932.0,2579.0,8820.0
6,Elections/Slowdown,2019,V2-NoWalsh,0.4865,64.6,5698.0,2772.0,8820.0
7,COVID Crash,2020,V2-Full,0.5011,71.4,6542.0,3278.0,9163.0
7,COVID Crash,2020,V2-NoRegime,0.4969,62.7,5742.0,2853.0,9163.0
7,COVID Crash,2020,V2-NoGAT,0.5052,60.4,5534.0,2796.0,9163.0
7,COVID Crash,2020,V2-NoTDA,0.4972,68.6,6283.0,3124.0,9163.0
7,COVID Crash,2020,V2-NoWalsh,0.4991,71.2,6524.0,3256.0,9163.0
8,Post-COVID Bull,2021,V2-Full,0.439,72.5,533.0,234.0,735.0
8,Post-COVID Bull,2021,V2-NoRegime,0.5309,52.8,388.0,206.0,735.0
8,Post-COVID Bull,2021,V2-NoGAT,0.5424,48.2,354.0,192.0,735.0
8,Post-COVID Bull,2021,V2-NoTDA,0.4337,71.8,528.0,229.0,735.0
8,Post-COVID Bull,2021,V2-NoWalsh,0.4371,72.5,533.0,233.0,735.0
