window,regime,test_period,method,category,overall_acc,hit_rate,confident_pct,n_test
1,Stable Bull,2018-01-01 -> 2018-12-31,Always-Up,Naive,0.4821,0.4821,1.0,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Random,Naive,0.501,0.5024,0.9025,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Momentum-1,Naive,0.5352,0.5352,1.0,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Momentum-5,Naive,0.5338,0.5338,1.0,14268
1,Stable Bull,2018-01-01 -> 2018-12-31,RSI Threshold,Technical,0.4616,0.4298,0.4437,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,MACD Crossover,Technical,0.5254,0.5254,1.0,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Bollinger %B,Technical,0.4565,0.4317,0.4761,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Logistic Regression (16ch),Classical ML,0.5354,0.5683,0.4767,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,Random Forest (16ch),Classical ML,0.5351,0.6185,0.2843,14500
1,Stable Bull,2018-01-01 -> 2018-12-31,LSTM - OHLCV only (5ch),DL Ablation,0.5501,0.6191,0.3339,10788
1,Stable Bull,2018-01-01 -> 2018-12-31,TCN - Std Indicators (7ch),DL Ablation,0.5468,0.5773,0.5061,10788
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Always-Up,Naive,0.5131,0.5131,1.0,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Random,Naive,0.4974,0.4962,0.9027,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Momentum-1,Naive,0.5276,0.5276,1.0,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Momentum-5,Naive,0.5355,0.5355,1.0,14326
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,RSI Threshold,Technical,0.4315,0.421,0.4883,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,MACD Crossover,Technical,0.5345,0.5345,1.0,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Bollinger %B,Technical,0.4348,0.4295,0.4929,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Logistic Regression (16ch),Classical ML,0.5614,0.6106,0.4868,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,Random Forest (16ch),Classical ML,0.5672,0.6865,0.2294,14558
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,LSTM - OHLCV only (5ch),DL Ablation,0.5379,0.632,0.2591,10846
2,Q4-2018 Recovery,2019-01-01 -> 2019-12-31,TCN - Std Indicators (7ch),DL Ablation,0.5517,0.6139,0.3611,10846
3,COVID Crash,2020-01-01 -> 2020-12-31,Always-Up,Naive,0.4878,0.4878,1.0,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Random,Naive,0.498,0.4975,0.9026,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Momentum-1,Naive,0.4988,0.4988,1.0,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Momentum-5,Naive,0.5206,0.5206,1.0,14384
3,COVID Crash,2020-01-01 -> 2020-12-31,RSI Threshold,Technical,0.4522,0.427,0.4281,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,MACD Crossover,Technical,0.5213,0.5213,1.0,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Bollinger %B,Technical,0.4537,0.4391,0.4815,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Logistic Regression (16ch),Classical ML,0.5478,0.5794,0.5632,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,Random Forest (16ch),Classical ML,0.5607,0.664,0.2753,14616
3,COVID Crash,2020-01-01 -> 2020-12-31,LSTM - OHLCV only (5ch),DL Ablation,0.551,0.6203,0.3457,10904
3,COVID Crash,2020-01-01 -> 2020-12-31,TCN - Std Indicators (7ch),DL Ablation,0.5643,0.6262,0.4055,10904
