,Demonetization,GST Launch,IL&FS Crisis,Elections/Slowdown,COVID Crash
2016-04-06,1000000.0,,,,
2016-04-07,999980.2944993053,,,,
2016-04-08,999817.661696123,,,,
2016-04-11,998609.6883462003,,,,
2016-04-12,997910.4468554575,,,,
2016-04-13,996293.7885712597,,,,
2016-04-18,995202.0978889823,,,,
2016-04-20,995940.8821345232,,,,
2016-04-21,997691.2146929917,,,,
2016-04-22,997955.9333151239,,,,
2016-04-25,998285.6173108364,,,,
2016-04-26,997661.6268251823,,,,
2016-04-27,997397.3766089984,,,,
2016-04-28,998756.4892249152,,,,
2016-04-29,999960.7083569794,,,,
2016-05-02,999403.6718598473,,,,
2016-05-03,999884.9045543282,,,,
2016-05-04,1001249.4376223222,,,,
2016-05-05,1001415.4585326957,,,,
2016-05-06,1001065.6098046676,,,,
2016-05-09,1000429.8997015357,,,,
2016-05-10,1000895.9030809134,,,,
2016-05-11,1001325.4713790296,,,,
2016-05-12,1000695.4903045146,,,,
2016-05-13,1002463.8261531566,,,,
2016-05-16,1000935.4217742289,,,,
2016-05-17,1000585.0632226404,,,,
2016-05-18,1001178.3950773578,,,,
2016-05-19,1001792.6896818704,,,,
2016-05-20,1002260.9465662885,,,,
2016-05-23,1002535.0181938729,,,,
2016-05-24,1002191.4249138372,,,,
2016-05-25,999878.479918114,,,,
2016-05-26,999244.1762554299,,,,
2016-05-27,998627.2957550541,,,,
2016-05-30,998608.7245961665,,,,
2016-05-31,998678.7404880698,,,,
2016-06-01,997839.4924543092,,,,
2016-06-02,997477.7158442655,,,,
2016-06-03,997909.428842885,,,,
2016-06-06,997569.3372484351,,,,
2016-06-07,997164.1983571795,,,,
2016-06-08,997144.5367258029,,,,
2016-06-09,997144.9541579698,,,,
2016-06-10,996729.2944688066,,,,
2016-06-13,996813.96995563,,,,
2016-06-14,996909.1460086599,,,,
2016-06-15,996260.4910780474,,,,
2016-06-16,997144.6788412024,,,,
2016-06-17,996608.1858800616,,,,
2016-06-20,995957.2015174127,,,,
2016-06-21,996281.3713746342,,,,
2016-06-22,996227.0451412019,,,,
2016-06-23,995631.6566339369,,,,
2016-06-24,997271.7650125051,,,,
2016-06-27,996115.8061916472,,,,
2016-06-28,995181.3394253633,,,,
2016-06-29,993971.9603220285,,,,
2016-06-30,993452.7276482529,,,,
2016-07-01,991653.9687317344,,,,
2016-07-04,990532.4772344743,,,,
2016-07-05,990610.326698327,,,,
2016-07-07,991264.7740029002,,,,
2016-07-08,991926.7939134473,,,,
2016-07-11,990245.4522546054,,,,
2016-07-12,988674.7265068464,,,,
2016-07-13,988674.5893789575,,,,
2016-07-14,988076.2753611713,,,,
2016-07-15,989294.4609381362,,,,
2016-07-18,989004.4614450105,,,,
2016-07-19,988738.2453059941,,,,
2016-07-20,988653.2826235509,,,,
2016-07-21,989595.2279891309,,,,
2016-07-22,989460.3016908297,,,,
2016-07-25,988432.274458075,,,,
2016-07-26,987985.5467722636,,,,
2016-07-27,988194.9189419851,,,,
2016-07-28,987011.7558099156,,,,
2016-07-29,987594.3328695641,,,,
2016-08-01,986438.7179363938,,,,
2016-08-02,985562.9516242383,,,,
2016-08-03,986329.4172789187,,,,
2016-08-04,985879.7554979224,,,,
2016-08-05,986031.3126372101,,,,
2016-08-08,985984.498328274,,,,
2016-08-09,986732.6974767923,,,,
2016-08-10,987916.6279820051,,,,
2016-08-11,986935.1582394689,,,,
2016-08-12,987021.9890197404,,,,
2016-08-16,987181.6743397539,,,,
2016-08-17,988162.1970693893,,,,
2016-08-18,987826.0557379168,,,,
2016-08-19,987929.7719084182,,,,
2016-08-22,988547.7139995652,,,,
2016-08-23,988356.8710949598,,,,
2016-08-24,986762.9617076004,,,,
2016-08-25,986009.3735262745,,,,
2016-08-26,985601.9067742261,,,,
2016-08-29,985581.997691291,,,,
2016-08-30,983952.2809903362,,,,
2016-08-31,984429.022671063,,,,
2016-09-01,984905.5300910922,,,,
2016-09-02,985307.3169407453,,,,
2016-09-06,983824.8437657042,,,,
2016-09-07,984331.1938635594,,,,
2016-09-08,1016796.4053485946,,,,
2016-09-09,1017754.8517842066,,,,
2016-09-12,1020484.8923528123,,,,
2016-09-14,1020367.3741310518,,,,
2016-09-15,1020427.019415872,,,,
2016-09-16,1018927.5680638368,,,,
2016-09-19,1019045.2461012333,,,,
2016-09-20,1019233.7148416485,,,,
2016-09-21,1018698.024210834,,,,
2016-09-22,1017474.0985263974,,,,
2016-09-23,1017172.0725133183,,,,
2016-09-26,1017773.1456746429,,,,
2016-09-27,1018601.4756396218,,,,
2016-09-28,1017355.0468975516,,,,
2016-09-29,1020820.4013987371,,,,
2016-09-30,1020578.2273313169,,,,
2016-10-03,1017576.9724866844,,,,
2016-10-04,1017859.9857590715,,,,
2016-10-05,1017584.507571747,,,,
2016-10-06,1017904.1934725461,,,,
2016-10-07,1018246.1308833247,,,,
2016-10-10,1018144.7758316051,,,,
2016-10-13,1019465.9608139873,,,,
2016-10-14,1019134.2081015506,,,,
2016-10-17,1020101.1187233573,,,,
2016-10-18,1020488.015485392,,,,
2016-10-19,1020650.0110986509,,,,
2016-10-20,1020793.5481062237,,,,
2016-10-21,1019848.529534935,,,,
2016-10-24,1019798.5671170084,,,,
